G_Name,Year,Amount,
John D. and Catherine T. MacArthur Foundation,2019,9000000.00,
The Fink Family Foundation,2018,15000.00,
V. Kann Rasmussen Foundation Inc.,2017,100000.00,
McKnight Foundation,2017,75000.00,
"Z. Smith Reynolds Foundation, Inc.",2017,30000.00,
John D. and Catherine T. MacArthur Foundation,2016,9000000.00,
Linden Trust For Conservation,2016,100000.00,
McKnight Foundation,2016,100000.00,
"Z. Smith Reynolds Foundation, Inc.",2016,30000.00,
"Z. Smith Reynolds Foundation, Inc.",2016,15000.00,
John D. and Catherine T. MacArthur Foundation,2015,480000.00,
Linden Trust For Conservation,2015,100000.00,
The George Gund Foundation,2015,60000.00,
The Schott Foundation for Public Education,2019,75000.00,
Foundation to Promote Open Society,2018,150000.00,
W.K. Kellogg Foundation,2016,600000.00,
Harold Rubenstein Family Charitable Foundation,2018,2500.00,
Jewish Communal Fund,2018,30000.00,
The Edward H. Benenson Foundation Inc.,2018,10000.00,
"Leon Lowenstein Foundation, Inc.",2018,5000.00,
"Roy R. and Marie S. Neuberger Foundation, Inc.",2018,1000.00,
The Derfner Foundation,2017,75000.00,
"The Statue Foundation, Inc.",2017,75000.00,
The Altschul Foundation,2017,17000.00,
The Altschul Foundation,2017,17000.00,
The Edward H. Benenson Foundation Inc.,2017,7500.00,
The Harvey L. Miller Family Foundation,2016,150000.00,
The Harvey L. Miller Family Foundation,2016,51906.00,
The Harvey L. Miller Family Foundation,2016,39417.00,
The Derfner Foundation,2016,25000.00,
"The Statue Foundation, Inc.",2016,9865.00,
The Edward H. Benenson Foundation Inc.,2016,6500.00,
2 Depot Square Ipswich Charitable Foundation,2016,1000.00,
Fidelity Investments Charitable Gift Fund,2016,350.00,
Michael S. Feldberg and Ruth L. Lazarus Charitable Trust,2016,350.00,
Fidelity Investments Charitable Gift Fund,2016,250.00,
AmazonSmile Foundation,2016,24.00,
AmazonSmile Foundation,2016,24.00,
Urgent Action Fund for Women's Human Rights,2017,5000.00,
Ford Foundation,2020,185000.00,
Oak Foundation,2019,500000.00,
The William and Flora Hewlett Foundation,2020,1000000.00,
The William and Flora Hewlett Foundation,2020,1000000.00,
The William and Flora Hewlett Foundation,2020,500000.00,
Ford Foundation,2020,50000.00,
Seattle Foundation,2020,47500.00,
The William and Flora Hewlett Foundation,2019,750000.00,
LuEsther T. Mertz Charitable Trust,2019,675000.00,
Seattle Foundation,2019,50000.00,
New Hampshire Charitable Foundation,2019,1000.00,
LuEsther T. Mertz Charitable Trust,2018,675000.00,
The William and Flora Hewlett Foundation,2018,500000.00,
San Francisco Foundation,2018,423834.00,
The William and Flora Hewlett Foundation,2018,300000.00,
The Overbrook Foundation,2018,65000.00,
Linden Trust For Conservation,2018,62500.00,
"J. E. & Z. B. Butler Foundation, Inc.",2018,25000.00,
The Betty Millard Foundation,2018,25000.00,
The Ashurst Foundation,2018,25000.00,
The New York Community Trust,2018,10000.00,
The New York Community Trust,2018,5000.00,
"The Prentice Foundation, Inc.",2018,5000.00,
May Foundation Trust,2018,1475.00,
The Samuel Goldwyn Foundation,2018,1200.00,
Sylvia Weider-Amber Family Foundation,2018,300.00,
"Bloomberg Philanthropies, Inc.",2017,1200000.00,
"Bloomberg Philanthropies, Inc.",2017,750000.00,
Sea Change Foundation,2017,600000.00,
John D. and Catherine T. MacArthur Foundation,2017,350000.00,
Pisces Foundation,2017,200000.00,
"Rockefeller Brothers Fund, Inc.",2017,150000.00,
The Favrot Fund,2017,70000.00,
The Overbrook Foundation,2017,65000.00,
Linden Trust For Conservation,2017,25000.00,
"Claneil Foundation, Inc.",2017,21300.00,
The Brimstone Fund,2017,10000.00,
The Betty Millard Foundation,2017,10000.00,
The Chicago Community Trust,2017,5000.00,
Harold Rubenstein Family Charitable Foundation,2017,2000.00,
The Samuel Goldwyn Foundation,2017,1635.00,
Sylvia Weider-Amber Family Foundation,2017,1500.00,
Charles V.W. Brooks Charitable Trust,2017,1000.00,
"Bloomberg Philanthropies, Inc.",2016,1500000.00,
The William and Flora Hewlett Foundation,2016,1125000.00,
LuEsther T. Mertz Charitable Trust,2016,675000.00,
The William and Flora Hewlett Foundation,2016,650000.00,
Sea Change Foundation,2016,587500.00,
The William and Flora Hewlett Foundation,2016,500000.00,
Sea Change Foundation,2016,500000.00,
ClimateWorks Foundation,2016,450000.00,
ClimateWorks Foundation,2016,300000.00,
ClimateWorks Foundation,2016,246500.00,
"Wallace Genetic Foundation, Inc.",2016,200000.00,
The Overbrook Foundation,2016,130000.00,
ClimateWorks Foundation,2016,100000.00,
ClimateWorks Foundation,2016,45000.00,
The Betty Millard Foundation,2016,30000.00,
Linden Trust For Conservation,2016,25000.00,
The Springcreek Foundation,2016,7000.00,
Harold Rubenstein Family Charitable Foundation,2016,3000.00,
"The Prentice Foundation, Inc.",2016,2500.00,
Dyson Foundation,2016,2000.00,
Sylvia Weider-Amber Family Foundation,2016,1500.00,
The Chicago Community Trust,2016,250.00,
The Samuel Goldwyn Foundation,2016,100.00,
The Samuel Goldwyn Foundation,2016,100.00,
Oak Foundation,2015,2000000.00,
"Surdna Foundation, Inc.",2015,755000.00,
LuEsther T. Mertz Charitable Trust,2015,675000.00,
"Rockefeller Brothers Fund, Inc.",2015,450000.00,
Sea Change Foundation,2015,400000.00,
Sea Change Foundation,2015,400000.00,
Sea Change Foundation,2015,325000.00,
The William and Flora Hewlett Foundation,2015,250000.00,
"Wallace Genetic Foundation, Inc.",2015,200000.00,
The Overbrook Foundation,2015,65000.00,
The Bullitt Foundation,2015,50000.00,
Chase Family Foundation,2015,50000.00,
Seattle Foundation,2015,45000.00,
The California Endowment,2019,123182.00,
The California Endowment,2018,251818.00,
The Nathan Cummings Foundation,2018,100000.00,
General Service Foundation,2018,60000.00,
"Compton Foundation, Inc.",2018,50000.00,
The Schmidt Family Foundation,2017,150000.00,
The California Endowment,2017,70000.00,
Common Counsel Foundation,2015,45000.00,
Ford Foundation,2015,400000.00,
"Rockefeller Brothers Fund, Inc.",2019,50000.00,
Flora Family Foundation,2019,50000.00,
The William and Flora Hewlett Foundation,2018,250000.00,
The William and Flora Hewlett Foundation,2016,400000.00,
The Nathan Cummings Foundation,2016,45000.00,
The Robert Wood Johnson Foundation,2015,50000.00,
"NEO Philanthropy, Inc.",2015,175000.00,
Open Society Institute,2017,250068.00,
Doris Duke Charitable Foundation,2019,50000.00,
Jane's Trust Foundation,2016,75000.00,
Daniel J. and Edith A. Ehrlich Family Foundation,2016,1000.00,
Daniel J. and Edith A. Ehrlich Family Foundation,2017,1000.00,
"Rockefeller Brothers Fund, Inc.",2019,50000.00,
Environmental Defense Fund Incorporated,2017,120000.00,
Environmental Defense Fund Incorporated,2017,120000.00,
Environmental Defense Fund Incorporated,2016,35000.00,
The Frances L. & Edwin L. Cummings Memorial Fund,2020,25000.00,
"William K. Bowes, Jr. Foundation",2019,310000.00,
"William K. Bowes, Jr. Foundation",2018,300000.00,
Patterson Family Foundation,2018,1035.00,
Patterson Family Foundation,2017,1000.00,
"William K. Bowes, Jr. Foundation",2016,287500.00,
Oak Foundation,2018,800220.00,
Ford Foundation,2017,200000.00,
Ford Foundation,2016,129400.00,
Oak Foundation,2015,999984.00,
Ford Foundation,2020,150000.00,
Ford Foundation,2019,150000.00,
Ford Foundation,2018,100000.00,
BHP Foundation,2019,1352771.00,
Hivos,2017,100000.00,
Clif Bar Family Foundation,2017,2500.00,
The New York Community Trust,2018,75000.00,
The New York Community Trust,2017,75000.00,
Doris Duke Charitable Foundation,2015,100000.00,
The Fund for New Jersey,2015,50000.00,
The Kendeda Fund,2015,500000.00,
"Rockefeller Brothers Fund, Inc.",2018,75000.00,
Doris Duke Charitable Foundation,2018,25000.00,
"Rockefeller Brothers Fund, Inc.",2016,75000.00,
"Rockefeller Brothers Fund, Inc.",2015,75000.00,
The William and Flora Hewlett Foundation,2020,500000.00,
The William and Flora Hewlett Foundation,2019,500000.00,
Skoll Global Threats Fund,2015,150000.00,
Grantham Foundation for the Protection,2018,1000000.00,
The William and Flora Hewlett Foundation,2020,300000.00,
The Kendeda Fund,2017,250000.00,
The William and Flora Hewlett Foundation,2016,300000.00,
The William and Flora Hewlett Foundation,2016,300000.00,
Linden Trust For Conservation,2016,25000.00,
McKnight Foundation,2015,2125000.00,
Linden Trust For Conservation,2015,250000.00,
NoVo Foundation,2016,1500000.00,
Opportunity Foundation,2018,10000.00,
Opportunity Foundation,2017,10000.00,
"The Rosalie Katz Family Foundation, Inc.",2018,750.00,
"North Star Fund, Inc.",2017,2000.00,
The William and Flora Hewlett Foundation,2020,600000.00,
The William and Flora Hewlett Foundation,2019,600000.00,
Park Foundation,2020,70000.00,
John D. and Catherine T. MacArthur Foundation,2019,1500000.00,
Seattle Foundation,2019,3500.00,
Foundation to Promote Open Society,2018,200000.00,
Grantham Foundation for the Protection,2018,170000.00,
Wallace Global Fund II,2018,100000.00,
Wallace Global Fund II,2018,100000.00,
Community Foundation for San Benito County,2018,25000.00,
Community Foundation for San Benito County,2018,20000.00,
"Bradshaw-Knight Foundation, Inc.",2018,10000.00,
Lydia B. Stokes Foundation,2018,8000.00,
The Marvin Naiman and Margery Goldman Family Foundation,2018,5000.00,
Lydia B. Stokes Foundation,2018,4000.00,
The Nathan Cummings Foundation,2017,175000.00,
The Winslow Foundation,2017,75000.00,
Corinthian International Foundation,2017,10000.00,
Sheila Gold Foundation,2017,10000.00,
The Schmidt Family Foundation,2016,500000.00,
John D. and Catherine T. MacArthur Foundation,2016,250000.00,
The Nathan Cummings Foundation,2016,175000.00,
Wallace Global Fund II,2016,75000.00,
"Rockefeller Brothers Fund, Inc.",2016,75000.00,
The Winslow Foundation,2016,75000.00,
Wallace Global Fund II,2016,50000.00,
Wallace Global Fund II,2016,50000.00,
Seattle Foundation,2016,25000.00,
Wallace Global Fund II,2015,75000.00,
Wallace Global Fund II,2015,75000.00,
CERES TRUST,2015,53000.00,
Seattle Foundation,2015,50000.00,
Skoll Global Threats Fund,2015,45000.00,
Seattle Foundation,2015,25000.00,
The JPMorgan Chase Foundation,2019,100.00,
Kalliopeia Foundation,2017,45000.00,
Tides Foundation,2018,25000.00,
Barr Foundation,2017,150000.00,
The Fund for New Jersey,2020,25000.00,
The John Merck Fund,2020,70000.00,
Nash Family Foundation,2016,10000.00,
Fondation CHANEL,2018,1000000.00,
"Bloomberg Philanthropies, Inc.",2016,300000.00,
The William and Flora Hewlett Foundation,2016,300000.00,
World Resources Institute,2018,22304.00,
Doris Duke Charitable Foundation,2017,100000.00,
"Seed Fund Grants, Inc.",2018,10000.00,
"John S. and James L. Knight Foundation, Inc.",2016,250000.00,
Park Foundation,2017,15000.00,
Park Foundation,2017,15000.00,
Robert Rauschenberg Foundation,2018,7500.00,
"The Morton K. and Jane Blaustein Foundation, Inc.",2018,150000.00,
Environmental Defense Fund Incorporated,2017,30000.00,
Environmental Defense Fund Incorporated,2017,30000.00,
Kresge Foundation,2015,660000.00,
"Northlight Foundation, Inc.",2020,50000.00,
The John Merck Fund,2020,20000.00,
Amalgamated Charitable Foundation Inc,2019,135000.00,
The Arthur Vining Davis Foundations,2018,250000.00,
The New York Community Trust,2018,25000.00,
The Oak Foundation U.S.A.,2015,190639.00,
Thousand Currents,2017,4000.00,
"Grassroots International, Inc.",2017,2500.00,
Legacy Alcoa Foundation,2016,300000.00,
Tides Foundation,2018,50000.00,
Tides Foundation,2018,40000.00,
The William and Flora Hewlett Foundation,2020,350000.00,
Barr Foundation,2015,1000000.00,
Wallace Global Fund II,2015,30000.00,
The Spencer Foundation,2019,49936.00,
First Midwest Charitable Foundation,2017,3500.00,
The Fund for New Jersey,2020,85000.00,
The Fund for New Jersey,2019,85000.00,
Environmental Defense Fund Incorporated,2017,30000.00,
Environmental Defense Fund Incorporated,2017,30000.00,
"Geraldine R. Dodge Foundation, Inc.",2016,85000.00,
"Geraldine R. Dodge Foundation, Inc.",2015,90000.00,
Kresge Foundation,2015,660000.00,
Kresge Foundation,2015,330000.00,
"Victoria Foundation, Inc.",2015,100000.00,
Healthcare Foundation of New Jersey Inc,2020,172075.00,
Healthcare Foundation of New Jersey Inc,2019,123725.00,
"Geraldine R. Dodge Foundation, Inc.",2019,20000.00,
Rackham Foundation Limited,2016,10000.00,
Barr Foundation,2020,850000.00,
Onion Foundation,2020,45000.00,
Onion Foundation,2019,15000.00,
Jane's Trust Foundation,2018,85000.00,
Onion Foundation,2018,15000.00,
Jane's Trust Foundation,2017,75000.00,
New Hampshire Charitable Foundation,2017,60000.00,
Jane's Trust Foundation,2016,75000.00,
New Hampshire Charitable Foundation,2016,60000.00,
In Our Backyards Inc.,2016,5492.00,
Jane's Trust Foundation,2015,45000.00,
Rhode Island Foundation,2017,5000.00,
Nicholas Endowment,2017,20000.00,
Nicholas Endowment,2016,55000.00,
Australian Communities Foundation,2019,5230.00,
Australian Communities Foundation,2019,5230.00,
Australian Communities Foundation,2018,5504.00,
Australian Communities Foundation,2017,5805.00,
Australian Communities Foundation,2017,1935.00,
Global Greengrants Fund Inc,2018,10000.00,
Silicon Valley Community Foundation,2016,2500.00,
San Francisco Foundation,2015,30000.00,
King Baudouin Foundation United States,2020,24938.00,
Ford Foundation,2015,174825.00,
Gordon and Betty Moore Foundation,2018,1236198.00,
Hampton Roads Community Foundation,2019,10000.00,
Hampton Roads Community Foundation,2019,17286.00,
"The Keith Campbell Foundation for the Environment, Inc.",2020,40000.00,
Snyder Family Foundation,2018,2000.00,
New Hampshire Charitable Foundation,2015,57800.00,
The Achelis and Bodman Foundation,2020,50000.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2020,150000.00,
Chorus Foundation,2020,100000.00,
Chorus Foundation,2020,25000.00,
Chorus Foundation,2019,100000.00,
Chorus Foundation,2018,200000.00,
Ivey Foundation,2016,10000.00,
The Namaste Foundation Inc.,2018,15000.00,
Tides Foundation,2017,5000.00,
McKnight Foundation,2020,50000.00,
Minnesota Center for Philanthropy Inc,2016,5250.00,
The Andrew W. Mellon Foundation,2017,250000.00,
Research Corporation,2016,16038.00,
Cedar Tree Foundation,2018,30000.00,
Cedar Tree Foundation,2017,35489.00,
"The Jack and Dorothy Byrne Foundation, Inc.",2017,5000.00,
"The Jack and Dorothy Byrne Foundation, Inc.",2016,5000.00,
Kresge Foundation,2016,798845.00,
Wallace Global Fund II,2016,40000.00,
Tides Foundation,2017,2500.00,
Reconstruction Women's Fund,2017,2855.00,
Global Greengrants Fund Inc,2016,5000.00,
Global Greengrants Fund Inc,2018,5000.00,
Global Greengrants Fund Inc,2017,4478.00,
"The David Rockefeller Fund, Inc.",2018,36000.00,
Oak Foundation,2018,47771.00,
Paul M. Angell Family Foundation,2016,5000.00,
Annenberg Foundation,2019,15000.00,
Tides Foundation,2018,500.00,
Green Tech Action Fund,2017,120000.00,
Tides Foundation,2017,49500.00,
"Ray C. Anderson Foundation, Inc.",2017,50000.00,
Wells Fargo Foundation,2017,10000.00,
Wells Fargo Foundation,2017,7500.00,
Wells Fargo Foundation,2017,3000.00,
Wells Fargo Foundation,2017,3000.00,
"The Pfizer Foundation, Inc.",2017,1800.00,
East Bay Community Foundation,2016,120000.00,
Vermont Community Foundation,2016,35000.00,
Dr Robert C and Tina Sohn Foundation,2016,5000.00,
Marin Community Foundation,2020,1500.00,
Oak Foundation,2019,150000.00,
Ford Foundation,2019,30000.00,
The William H. Donner Foundation,2016,60000.00,
The Nathan Cummings Foundation,2015,50000.00,
Park Foundation,2020,60000.00,
Wallace Global Fund II,2018,200000.00,
Wallace Global Fund II,2018,175000.00,
The ARCA Foundation,2018,75000.00,
Wallace Global Fund II,2018,75000.00,
The ARCA Foundation,2017,50000.00,
Park Foundation,2017,25000.00,
Tides Foundation,2017,20000.00,
Wallace Global Fund II,2016,125000.00,
Wallace Global Fund II,2016,70000.00,
Wallace Global Fund II,2016,60000.00,
Wallace Global Fund II,2016,60000.00,
Wallace Global Fund II,2016,50000.00,
The Nathan Cummings Foundation,2015,175000.00,
Wallace Global Fund II,2015,100000.00,
Wallace Global Fund II,2015,100000.00,
Wallace Global Fund II,2015,67000.00,
Wallace Global Fund II,2015,65000.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2020,100000.00,
The Libra Foundation,2020,100000.00,
The California Endowment,2019,322000.00,
San Francisco Foundation,2018,137500.00,
The Marisla Foundation,2018,35000.00,
The Schmidt Family Foundation,2017,300000.00,
Community Change,2017,80250.00,
The Marisla Foundation,2017,35000.00,
The Schmidt Family Foundation,2016,300000.00,
Community Change,2016,75000.00,
"Compton Foundation, Inc.",2016,50000.00,
The Marisla Foundation,2016,35000.00,
Kresge Foundation,2015,660000.00,
The Schmidt Family Foundation,2015,260000.00,
The William and Flora Hewlett Foundation,2015,50000.00,
Green Tech Action Fund,2016,10000.00,
The California Endowment,2017,15000.00,
The Zellerbach Family Foundation,2019,60000.00,
The Zellerbach Family Foundation,2018,60000.00,
The Zellerbach Family Foundation,2017,47950.00,
Lisa and Douglas Goldman Fund,2020,50000.00,
The William and Flora Hewlett Foundation,2020,1500000.00,
The William and Flora Hewlett Foundation,2018,475000.00,
The William and Flora Hewlett Foundation,2020,250000.00,
The William and Flora Hewlett Foundation,2019,1500000.00,
Energy Foundation China,2019,286610.00,
MJS Foundation Inc.,2018,500000.00,
The William and Flora Hewlett Foundation,2017,1000000.00,
MJS Foundation Inc.,2017,500000.00,
The California Endowment,2019,62500.00,
The California Endowment,2019,10000.00,
The California Endowment,2018,150000.00,
San Francisco Foundation,2018,60000.00,
The California Endowment,2017,87500.00,
The California Endowment,2015,200000.00,
The William and Flora Hewlett Foundation,2019,500000.00,
The William and Flora Hewlett Foundation,2017,250000.00,
Third Way,2017,200000.00,
Marin Community Foundation,2019,1000000.00,
Leonard & Beryl Buck Foundation,2019,1000000.00,
The William and Flora Hewlett Foundation,2015,400000.00,
The California Endowment,2019,185000.00,
The California Endowment,2018,185000.00,
The California Endowment,2017,185000.00,
International Community Foundation,2020,17367.00,
The William and Flora Hewlett Foundation,2018,3200000.00,
The William and Flora Hewlett Foundation,2018,400000.00,
The California Endowment,2017,145000.00,
The California Endowment,2017,25000.00,
The California Endowment,2016,290000.00,
San Francisco Foundation,2020,9500.00,
The California Endowment,2019,145000.00,
The California Endowment,2018,145000.00,
The California Endowment,2017,165000.00,
The California Endowment,2016,330000.00,
"Consultative Group on Biological Diversity, Inc.",2016,10000.00,
The Libra Foundation,2020,150000.00,
"Northlight Foundation, Inc.",2020,25000.00,
"Northlight Foundation, Inc.",2019,25000.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2020,100000.00,
The Libra Foundation,2020,100000.00,
The California Endowment,2019,715000.00,
The California Endowment,2018,715000.00,
The California Endowment,2015,400000.00,
The Libra Foundation,2020,100000.00,
The Libra Foundation,2019,200000.00,
The Libra Foundation,2018,75000.00,
The Libra Foundation,2017,75000.00,
The Libra Foundation,2020,250000.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2020,150000.00,
"Northlight Foundation, Inc.",2020,35000.00,
The Libra Foundation,2019,300000.00,
"Northlight Foundation, Inc.",2019,35000.00,
CS Fund,2019,30000.00,
"North Star Fund, Inc.",2019,10000.00,
The Libra Foundation,2018,300000.00,
"Compton Foundation, Inc.",2018,100000.00,
Cedar Tree Foundation,2018,60000.00,
"Surdna Foundation, Inc.",2017,300000.00,
The Overbrook Foundation,2017,50000.00,
The Overbrook Foundation,2017,30000.00,
"Proteus Fund, Inc.",2017,25000.00,
The Swift Foundation,2017,25000.00,
"Grassroots International, Inc.",2017,2500.00,
"Compton Foundation, Inc.",2017,500.00,
The Libra Foundation,2016,210000.00,
"Compton Foundation, Inc.",2016,50000.00,
The Swift Foundation,2015,60000.00,
"Compton Foundation, Inc.",2015,50000.00,
The Overbrook Foundation,2015,50000.00,
Solidago Foundation,2015,40000.00,
"The David Rockefeller Fund, Inc.",2017,40000.00,
Mertz Gilmore Foundation,2016,50000.00,
The California Endowment,2019,300000.00,
San Francisco Foundation,2018,1437000.00,
Kaiser Foundation Health Plan Inc,2015,25000.00,
The William and Flora Hewlett Foundation,2019,235000.00,
"Rockefeller Brothers Fund, Inc.",2018,25000.00,
Wallace Global Fund II,2018,20000.00,
Penney Family Fund,2018,3000.00,
V. Kann Rasmussen Foundation Inc.,2016,30000.00,
The David and Lucile Packard Foundation,2016,15000.00,
The Schmidt Family Foundation,2016,400000.00,
The Nathan Cummings Foundation,2018,250000.00,
The David and Lucile Packard Foundation,2018,100000.00,
The Schmidt Family Foundation,2017,225000.00,
The David and Lucile Packard Foundation,2016,900000.00,
The Nathan Cummings Foundation,2016,150000.00,
The David and Lucile Packard Foundation,2016,105863.00,
The David and Lucile Packard Foundation,2016,15000.00,
The William and Flora Hewlett Foundation,2020,250000.00,
Clif Bar Family Foundation,2019,6000.00,
The William and Flora Hewlett Foundation,2017,250000.00,
The William and Flora Hewlett Foundation,2016,300000.00,
The William and Flora Hewlett Foundation,2015,300000.00,
The Nathan Cummings Foundation,2017,25000.00,
The Nathan Cummings Foundation,2016,25000.00,
We Trust (in Care of Aragon Trust Company),2019,33333.00,
We Trust (in Care of Aragon Trust Company),2018,33333.00,
We Trust (in Care of Aragon Trust Company),2017,33334.00,
The California Endowment,2019,175000.00,
The California Endowment,2018,175000.00,
The California Endowment,2017,175000.00,
T Gary and Kathleen Rogers Supportingfamily Foundation,2019,8350.00,
The California Endowment,2018,100007.00,
The California Endowment,2017,100007.00,
Skoll Global Threats Fund,2015,48500.00,
The Bullitt Foundation,2018,30000.00,
Furthur Foundation,2017,2000.00,
The Libra Foundation,2020,150000.00,
"Compton Foundation, Inc.",2018,100000.00,
Walter and Elise Haas Fund,2018,40000.00,
"Compton Foundation, Inc.",2016,40000.00,
General Service Foundation,2016,25000.00,
The California Endowment,2017,15000.00,
The California Endowment,2017,15000.00,
The California Endowment,2019,450249.00,
The California Endowment,2018,400206.00,
The Schott Foundation for Public Education,2018,20000.00,
Ford Foundation,2017,1450000.00,
Ford Foundation,2016,550000.00,
NoVo Foundation,2018,600000.00,
Clif Bar Family Foundation,2018,5000.00,
The Heising-Simons Foundation,2016,150000.00,
The Heising-Simons Foundation,2015,50000.00,
Walter and Elise Haas Fund,2020,25000.00,
The William and Flora Hewlett Foundation,2019,250000.00,
The California Endowment,2019,100000.00,
The Schmidt Family Foundation,2018,275000.00,
The California Endowment,2018,200000.00,
San Francisco Foundation,2018,180000.00,
The Schmidt Family Foundation,2017,275000.00,
The California Endowment,2017,250000.00,
The California Endowment,2017,250000.00,
The Schmidt Family Foundation,2016,200000.00,
The Schmidt Family Foundation,2018,150000.00,
Tides Foundation,2017,1000.00,
Environmental Defense Fund Incorporated,2017,25000.00,
Environmental Defense Fund Incorporated,2017,25000.00,
"Stewart R. Mott Foundation, Inc.",2018,5000.00,
The Christensen Fund,2016,25000.00,
Global Greengrants Fund Inc,2019,15000.00,
Environmental Defense Fund Incorporated,2016,556085.00,
Kresge Foundation,2016,90176.00,
Environmental Defense Fund Incorporated,2018,10000.00,
Green Tech Action Fund,2017,10000.00,
The William and Flora Hewlett Foundation,2020,1000000.00,
Chorus Foundation,2020,125000.00,
Chorus Foundation,2020,100000.00,
Seattle Foundation,2020,20000.00,
Chorus Foundation,2019,150000.00,
Amalgamated Charitable Foundation Inc,2019,90000.00,
The California Endowment,2019,20000.00,
Women Donors Network,2019,15000.00,
Kresge Foundation,2018,1200000.00,
The JPB Foundation,2018,750000.00,
The Kendeda Fund,2018,500000.00,
Kresge Foundation,2018,300000.00,
Chorus Foundation,2018,200000.00,
The Nathan Cummings Foundation,2018,150000.00,
Kresge Foundation,2018,100000.00,
Chorus Foundation,2018,100000.00,
Warsh-Mott Legacy,2018,35000.00,
Kresge Foundation,2017,600000.00,
The Kendeda Fund,2017,500000.00,
The Nathan Cummings Foundation,2017,260000.00,
The JPB Foundation,2017,250000.00,
General Service Foundation,2017,50000.00,
CS Fund,2017,35000.00,
The California Endowment,2017,10000.00,
Kresge Foundation,2016,250000.00,
Kresge Foundation,2016,125000.00,
The Nathan Cummings Foundation,2016,100000.00,
"Compton Foundation, Inc.",2016,50000.00,
Women Donors Network,2016,35000.00,
Kresge Foundation,2015,250000.00,
Kresge Foundation,2015,100000.00,
The Nathan Cummings Foundation,2015,75000.00,
The William and Flora Hewlett Foundation,2020,500000.00,
The William and Flora Hewlett Foundation,2020,250000.00,
The William and Flora Hewlett Foundation,2020,200000.00,
The William and Flora Hewlett Foundation,2019,250000.00,
Pisces Foundation,2019,35000.00,
The William and Flora Hewlett Foundation,2018,200000.00,
Pisces Foundation,2018,35000.00,
The William and Flora Hewlett Foundation,2017,200000.00,
Wallace Global Fund II,2018,25000.00,
Hillman Family Foundations,2020,10000.00,
Bruce and Marilyn Wallace Foundation,2018,50000.00,
The David and Lucile Packard Foundation,2017,48500.00,
Wallace Global Fund II,2016,25000.00,
The Grove Foundation,2020,25000.00,
The Grove Foundation,2020,25000.00,
The Grove Foundation,2019,25000.00,
The California Endowment,2019,75000.00,
The California Endowment,2019,75000.00,
The California Endowment,2019,50000.00,
The California Endowment,2018,180000.00,
The California Endowment,2018,25000.00,
The California Endowment,2018,25000.00,
The California Endowment,2017,105000.00,
S. H. Cowell Foundation,2016,75000.00,
The California Endowment,2018,150000.00,
The California Endowment,2017,150000.00,
The California Endowment,2017,133000.00,
The ARCA Foundation,2018,75000.00,
General Service Foundation,2018,10000.00,
General Service Foundation,2017,135000.00,
The ARCA Foundation,2017,50000.00,
RSF Social Finance,2018,10000.00,
The California Endowment,2019,90500.00,
Kresge Foundation,2018,250000.00,
Kresge Foundation,2017,250000.00,
The California Endowment,2019,25000.00,
American Public Health Association Inc.,2019,10000.00,
The California Endowment,2019,2500.00,
Kresge Foundation,2018,25000.00,
East Bay Community Foundation,2016,713728.00,
Tides Foundation,2020,1000000.00,
Tides Foundation,2020,22500.00,
The Morris Stulsaft Foundation,2020,10000.00,
The San Bruno Community Foundation,2020,8000.00,
Kresge Foundation,2016,200000.00,
Kresge Foundation,2015,200000.00,
Energy Foundation China,2016,114500.00,
The California Endowment,2018,20000.00,
The Marisla Foundation,2016,20000.00,
The PG&E Corporation Foundation,2016,5000.00,
Tides Foundation,2020,3000000.00,
The David and Lucile Packard Foundation,2020,75000.00,
Marin Community Foundation,2020,5000.00,
Marin Community Foundation,2020,500.00,
The Robert Wood Johnson Foundation,2019,388800.00,
The William and Flora Hewlett Foundation,2019,350000.00,
Meyer Memorial Trust,2019,140000.00,
Annenberg Foundation,2019,125000.00,
Treeline Foundation,2019,110000.00,
The David and Lucile Packard Foundation,2019,100000.00,
The California Endowment,2019,100000.00,
"The Tresemer Foundation, Inc.",2019,25000.00,
Marin Community Foundation,2019,5000.00,
The Gaea Foundation,2019,3700.00,
Whatcom Community Foundation,2019,3000.00,
The Minneapolis Foundation,2019,1000.00,
Marin Community Foundation,2019,500.00,
The Minneapolis Foundation,2019,250.00,
John D. and Catherine T. MacArthur Foundation,2018,15000000.00,
Foundation For The Carolinas,2018,7500000.00,
"The Partnership Project, Inc.",2018,763196.00,
The David and Lucile Packard Foundation,2018,200000.00,
Sophiagrace Foundation,2018,200000.00,
Grantham Foundation for the Protection,2018,150000.00,
Arie and Ida Crown Memorial,2018,125000.00,
Treeline Foundation,2018,110000.00,
Julian Grace Foundation,2018,90000.00,
The George and Judy Marcus Family Foundation,2018,75000.00,
"ImpactAssets, Inc.",2018,70300.00,
The Spurlino Foundation,2018,70000.00,
The Gartner Family Charitable Trust,2018,67832.00,
The California Endowment,2018,60020.00,
"MWC Foundation, Inc.",2018,50000.00,
The Cynthia and George Mitchell Foundation,2018,50000.00,
The Schmidt Family Foundation,2018,50000.00,
"The Scherman Foundation, Inc.",2018,40000.00,
Charities Aid Foundation of America,2018,25000.00,
