R_Name,Year,Amount,
"GLSEN, Inc.",2016,200000.00,
Graduate Center Foundation,2015,55000.00,
GreenFaith,2019,60000.00,
GreenFaith,2019,5000.00,
GreenFaith,2018,1000000.00,
GreenFaith,2018,500000.00,
GreenFaith,2018,250000.00,
GreenFaith,2018,175000.00,
GreenFaith,2018,50000.00,
GreenFaith,2018,50000.00,
GreenFaith,2017,1000000.00,
GreenFaith,2017,500000.00,
GreenFaith,2017,250000.00,
GreenFaith,2017,100000.00,
GreenFaith,2017,100000.00,
GreenFaith,2017,100000.00,
GreenFaith,2017,60000.00,
GreenFaith,2017,60000.00,
GreenFaith,2017,50000.00,
GreenFaith,2017,50000.00,
GreenFaith,2017,50000.00,
GreenFaith,2017,35000.00,
GreenFaith,2017,25000.00,
GreenFaith,2017,10000.00,
GreenFaith,2017,3000.00,
GreenFaith,2016,75000.00,
GreenFaith,2016,50000.00,
GreenFaith,2015,250000.00,
GreenFaith,2015,209750.00,
GreenFaith,2015,75000.00,
GreenFaith,2015,60000.00,
GreenFaith,2015,30000.00,
GreenWave Organization Corp.,2015,30000.00,
Hispanic Federation,2018,10000.00,
Human Rights Watch,2018,5000.00,
Independent Scholarship,2015,175000.00,
Inspiraction,2017,176000.00,
Institute for Strategic and Equitable Development,2020,300000.00,
Institute for Transportation and Development Policy,2020,400000.00,
Institute for Transportation and Development Policy,2016,25000.00,
Interfaith Center on Corporate Responsibility,2018,50000.00,
Interfaith Center on Corporate Responsibility,2018,10000.00,
International Planned Parenthood,2016,19000.00,
International Rescue Committee,2020,1000000.00,
Khoj International Artists Association,2016,575000.00,
Let's Breakthrough,2015,150000.00,
Let's Breakthrough,2015,150000.00,
Linden Trust For Conservation,2018,655000.00,
MADRE,2019,210000.00,
MADRE,2018,20000.00,
MADRE,2017,2000000.00,
MADRE,2017,1500000.00,
MADRE,2017,20000.00,
MADRE,2017,20000.00,
MADRE,2017,7000.00,
MADRE,2016,50000.00,
MADRE,2016,30000.00,
MADRE,2016,25000.00,
Magnum Foundation,2018,110000.00,
Magnum Foundation,2018,15000.00,
Magnum Foundation,2015,50000.00,
Manhattan Institute for Policy Research,2016,50000.00,
"Message Productions, LLC",2015,50000.00,
Mission 2020,2017,250000.00,
Movimiento por Justicia del Barrio,2017,2500.00,
NAACP Legal Defense and Educational Fund,2016,395000.00,
National Association for the Advancement of Colored People,2017,150000.00,
National Audubon Society,2019,9000000.00,
National Audubon Society,2018,15000.00,
National Audubon Society,2017,100000.00,
National Audubon Society,2017,75000.00,
National Audubon Society,2017,30000.00,
National Audubon Society,2016,9000000.00,
National Audubon Society,2016,100000.00,
National Audubon Society,2016,100000.00,
National Audubon Society,2016,30000.00,
National Audubon Society,2016,15000.00,
National Audubon Society,2015,480000.00,
National Audubon Society,2015,100000.00,
National Audubon Society,2015,60000.00,
National Economic and Social Rights Initiative,2019,75000.00,
National Economic and Social Rights Initiative,2018,150000.00,
National Economic and Social Rights Initiative,2016,600000.00,
National Resources Defense Council,2018,2500.00,
National School Climate Center,2018,30000.00,
National School Climate Center,2018,10000.00,
National School Climate Center,2018,5000.00,
National School Climate Center,2018,1000.00,
National School Climate Center,2017,75000.00,
National School Climate Center,2017,75000.00,
National School Climate Center,2017,17000.00,
National School Climate Center,2017,17000.00,
National School Climate Center,2017,7500.00,
National School Climate Center,2016,150000.00,
National School Climate Center,2016,51906.00,
National School Climate Center,2016,39417.00,
National School Climate Center,2016,25000.00,
National School Climate Center,2016,9865.00,
National School Climate Center,2016,6500.00,
National School Climate Center,2016,1000.00,
National School Climate Center,2016,350.00,
National School Climate Center,2016,350.00,
National School Climate Center,2016,250.00,
National School Climate Center,2016,24.00,
National School Climate Center,2016,24.00,
Native Organizers Alliance,2017,5000.00,
Natural Resource Governance Institute,2020,185000.00,
Natural Resources Defense Council (nrdc),2019,500000.00,
"Natural Resources Defense Council, Inc.",2020,1000000.00,
"Natural Resources Defense Council, Inc.",2020,1000000.00,
"Natural Resources Defense Council, Inc.",2020,500000.00,
"Natural Resources Defense Council, Inc.",2020,50000.00,
"Natural Resources Defense Council, Inc.",2020,47500.00,
"Natural Resources Defense Council, Inc.",2019,750000.00,
"Natural Resources Defense Council, Inc.",2019,675000.00,
"Natural Resources Defense Council, Inc.",2019,50000.00,
"Natural Resources Defense Council, Inc.",2019,1000.00,
"Natural Resources Defense Council, Inc.",2018,675000.00,
"Natural Resources Defense Council, Inc.",2018,500000.00,
"Natural Resources Defense Council, Inc.",2018,423834.00,
"Natural Resources Defense Council, Inc.",2018,300000.00,
"Natural Resources Defense Council, Inc.",2018,65000.00,
"Natural Resources Defense Council, Inc.",2018,62500.00,
"Natural Resources Defense Council, Inc.",2018,25000.00,
"Natural Resources Defense Council, Inc.",2018,25000.00,
"Natural Resources Defense Council, Inc.",2018,25000.00,
"Natural Resources Defense Council, Inc.",2018,10000.00,
"Natural Resources Defense Council, Inc.",2018,5000.00,
"Natural Resources Defense Council, Inc.",2018,5000.00,
"Natural Resources Defense Council, Inc.",2018,1475.00,
"Natural Resources Defense Council, Inc.",2018,1200.00,
"Natural Resources Defense Council, Inc.",2018,300.00,
"Natural Resources Defense Council, Inc.",2017,1200000.00,
"Natural Resources Defense Council, Inc.",2017,750000.00,
"Natural Resources Defense Council, Inc.",2017,600000.00,
"Natural Resources Defense Council, Inc.",2017,350000.00,
"Natural Resources Defense Council, Inc.",2017,200000.00,
"Natural Resources Defense Council, Inc.",2017,150000.00,
"Natural Resources Defense Council, Inc.",2017,70000.00,
"Natural Resources Defense Council, Inc.",2017,65000.00,
"Natural Resources Defense Council, Inc.",2017,25000.00,
"Natural Resources Defense Council, Inc.",2017,21300.00,
"Natural Resources Defense Council, Inc.",2017,10000.00,
"Natural Resources Defense Council, Inc.",2017,10000.00,
"Natural Resources Defense Council, Inc.",2017,5000.00,
"Natural Resources Defense Council, Inc.",2017,2000.00,
"Natural Resources Defense Council, Inc.",2017,1635.00,
"Natural Resources Defense Council, Inc.",2017,1500.00,
"Natural Resources Defense Council, Inc.",2017,1000.00,
"Natural Resources Defense Council, Inc.",2016,1500000.00,
"Natural Resources Defense Council, Inc.",2016,1125000.00,
"Natural Resources Defense Council, Inc.",2016,675000.00,
"Natural Resources Defense Council, Inc.",2016,650000.00,
"Natural Resources Defense Council, Inc.",2016,587500.00,
"Natural Resources Defense Council, Inc.",2016,500000.00,
"Natural Resources Defense Council, Inc.",2016,500000.00,
"Natural Resources Defense Council, Inc.",2016,450000.00,
"Natural Resources Defense Council, Inc.",2016,300000.00,
"Natural Resources Defense Council, Inc.",2016,246500.00,
"Natural Resources Defense Council, Inc.",2016,200000.00,
"Natural Resources Defense Council, Inc.",2016,130000.00,
"Natural Resources Defense Council, Inc.",2016,100000.00,
"Natural Resources Defense Council, Inc.",2016,45000.00,
"Natural Resources Defense Council, Inc.",2016,30000.00,
"Natural Resources Defense Council, Inc.",2016,25000.00,
"Natural Resources Defense Council, Inc.",2016,7000.00,
"Natural Resources Defense Council, Inc.",2016,3000.00,
"Natural Resources Defense Council, Inc.",2016,2500.00,
"Natural Resources Defense Council, Inc.",2016,2000.00,
"Natural Resources Defense Council, Inc.",2016,1500.00,
"Natural Resources Defense Council, Inc.",2016,250.00,
"Natural Resources Defense Council, Inc.",2016,100.00,
"Natural Resources Defense Council, Inc.",2016,100.00,
"Natural Resources Defense Council, Inc.",2015,2000000.00,
"Natural Resources Defense Council, Inc.",2015,755000.00,
"Natural Resources Defense Council, Inc.",2015,675000.00,
"Natural Resources Defense Council, Inc.",2015,450000.00,
"Natural Resources Defense Council, Inc.",2015,400000.00,
"Natural Resources Defense Council, Inc.",2015,400000.00,
"Natural Resources Defense Council, Inc.",2015,325000.00,
"Natural Resources Defense Council, Inc.",2015,250000.00,
"Natural Resources Defense Council, Inc.",2015,200000.00,
"Natural Resources Defense Council, Inc.",2015,65000.00,
"Natural Resources Defense Council, Inc.",2015,50000.00,
"Natural Resources Defense Council, Inc.",2015,50000.00,
"Natural Resources Defense Council, Inc.",2015,45000.00,
NEO Philanthropy,2019,123182.00,
NEO Philanthropy,2018,251818.00,
NEO Philanthropy,2018,100000.00,
NEO Philanthropy,2018,60000.00,
NEO Philanthropy,2018,50000.00,
NEO Philanthropy,2017,150000.00,
NEO Philanthropy,2017,70000.00,
NEO Philanthropy,2015,45000.00,
New School,2015,400000.00,
New York League of Conservation Voters Education Fund,2019,50000.00,
New York University,2019,50000.00,
New York University,2018,250000.00,
New York University,2016,400000.00,
New York University,2016,45000.00,
New York University,2015,50000.00,
NRDC ACTION FUND,2015,175000.00,
One Acre Fund,2017,250068.00,
Open Space Conservancy,2019,50000.00,
Open Space Conservancy,2016,75000.00,
Open Space Conservancy,2016,1000.00,
"Open Space Institute, Inc.",2017,1000.00,
Pace University,2019,50000.00,
Pace University,2017,120000.00,
Pace University,2017,120000.00,
Pace University,2016,35000.00,
"Partnership with Children, Inc.",2020,25000.00,
ProPublica,2019,310000.00,
ProPublica,2018,300000.00,
ProPublica,2018,1035.00,
ProPublica,2017,1000.00,
ProPublica,2016,287500.00,
Purpose Foundation,2018,800220.00,
Purpose Foundation,2017,200000.00,
Purpose Foundation,2016,129400.00,
Purpose Foundation,2015,999984.00,
Purpose Global PBC,2020,150000.00,
Purpose Global PBC,2019,150000.00,
Purpose Global PBC,2018,100000.00,
Rainforest Alliance,2019,1352771.00,
Rainforest Alliance,2017,100000.00,
Rainforest Alliance,2017,2500.00,
Regional Plan Association Inc.,2018,75000.00,
Regional Plan Association Inc.,2017,75000.00,
Regional Plan Association Inc.,2015,100000.00,
Regional Plan Association Inc.,2015,50000.00,
Res Publica,2015,500000.00,
Research Foundation of The City University of New York,2018,75000.00,
Research Foundation of The City University of New York,2018,25000.00,
Research Foundation of The City University of New York,2016,75000.00,
Research Foundation of The City University of New York,2015,75000.00,
"Rhodium Group, LLC",2020,500000.00,
"Rhodium Group, LLC",2019,500000.00,
"Rhodium Group, LLC",2015,150000.00,
Rockefeller Family,2018,1000000.00,
Rockefeller Family Fund,2020,300000.00,
Rockefeller Family Fund,2017,250000.00,
Rockefeller Family Fund,2016,300000.00,
Rockefeller Family Fund,2016,300000.00,
Rockefeller Family Fund,2016,25000.00,
Rockefeller Family Fund,2015,2125000.00,
Rockefeller Family Fund,2015,250000.00,
Rules Foundation,2016,1500000.00,
Shared Interest,2018,10000.00,
Shared Interest,2017,10000.00,
Sierra Club Foundation,2018,750.00,
Street Vendor Project,2017,2000.00,
Sustainable Development Solutions Network Association,2020,600000.00,
Sustainable Development Solutions Network Association,2019,600000.00,
Sustainable Markets Foundation,2020,70000.00,
Sustainable Markets Foundation,2019,1500000.00,
Sustainable Markets Foundation,2019,3500.00,
Sustainable Markets Foundation,2018,200000.00,
Sustainable Markets Foundation,2018,170000.00,
Sustainable Markets Foundation,2018,100000.00,
Sustainable Markets Foundation,2018,100000.00,
Sustainable Markets Foundation,2018,25000.00,
Sustainable Markets Foundation,2018,20000.00,
Sustainable Markets Foundation,2018,10000.00,
Sustainable Markets Foundation,2018,8000.00,
Sustainable Markets Foundation,2018,5000.00,
Sustainable Markets Foundation,2018,4000.00,
Sustainable Markets Foundation,2017,175000.00,
Sustainable Markets Foundation,2017,75000.00,
Sustainable Markets Foundation,2017,10000.00,
Sustainable Markets Foundation,2017,10000.00,
Sustainable Markets Foundation,2016,500000.00,
Sustainable Markets Foundation,2016,250000.00,
Sustainable Markets Foundation,2016,175000.00,
Sustainable Markets Foundation,2016,75000.00,
Sustainable Markets Foundation,2016,75000.00,
Sustainable Markets Foundation,2016,75000.00,
Sustainable Markets Foundation,2016,50000.00,
Sustainable Markets Foundation,2016,50000.00,
Sustainable Markets Foundation,2016,25000.00,
Sustainable Markets Foundation,2015,75000.00,
Sustainable Markets Foundation,2015,75000.00,
Sustainable Markets Foundation,2015,53000.00,
Sustainable Markets Foundation,2015,50000.00,
Sustainable Markets Foundation,2015,45000.00,
Sustainable Markets Foundation,2015,25000.00,
The Climate Group,2019,100.00,
The Global Peace Initiative of Women Religious and Spiritual Leaders Inc,2017,45000.00,
The New Press,2018,25000.00,
"The Years Project, Inc.",2017,150000.00,
Tri-State Transportation Campaign,2020,25000.00,
"Tri-State Transportation Campaign, Inc.",2020,70000.00,
UJA-Federation of New York,2016,10000.00,
UN Women,2018,1000000.00,
United Nations,2016,300000.00,
United Nations,2016,300000.00,
United Nations Development Programme,2018,22304.00,
Urban Green Council,2017,100000.00,
Van Alen Institute Projects in Public Architecture,2018,10000.00,
Van Alen Institute Projects in Public Architecture,2016,250000.00,
Waterkeeper Alliance,2017,15000.00,
Waterkeeper Alliance,2017,15000.00,
Watershed Center,2018,7500.00,
West Harlem Environmental Action,2018,150000.00,
West Harlem Environmental Action,2017,30000.00,
West Harlem Environmental Action,2017,30000.00,
West Harlem Environmental Action,2015,660000.00,
West Harlem Environmental Action Inc.,2020,50000.00,
West Harlem Environmental Action Inc.,2020,20000.00,
West Harlem Environmental Action Inc.,2019,135000.00,
WNET,2018,250000.00,
WNET,2018,25000.00,
Women's Commission for Refugee Women and Children,2015,190639.00,
World Hunger Year,2017,4000.00,
World Hunger Year,2017,2500.00,
World Wildlife Fund,2016,300000.00,
Years of Living Dangerously LLC,2018,50000.00,
Years of Living Dangerously LLC,2018,40000.00,
"Years Project, LLC",2020,350000.00,
"Years Project, LLC",2015,1000000.00,
Yes Lab,2015,30000.00,
University of Delaware,2019,49936.00,
Equine Dreams,2017,3500.00,
Eastern Environmental Law Center,2020,85000.00,
Eastern Environmental Law Center,2019,85000.00,
Eastern Environmental Law Center,2017,30000.00,
Eastern Environmental Law Center,2017,30000.00,
Eastern Environmental Law Center,2016,85000.00,
Eastern Environmental Law Center,2015,90000.00,
Ironbound Community Corporation,2015,660000.00,
Ironbound Community Corporation,2015,330000.00,
Ironbound Community Corporation,2015,100000.00,
Playworks Newark,2020,172075.00,
Playworks Newark,2019,123725.00,
Rutgers University Foundation,2019,20000.00,
Seven Stories,2016,10000.00,
New England Grassroots Environment Fund,2020,850000.00,
New England Grassroots Environment Fund,2020,45000.00,
New England Grassroots Environment Fund,2019,15000.00,
New England Grassroots Environment Fund,2018,85000.00,
New England Grassroots Environment Fund,2018,15000.00,
New England Grassroots Environment Fund,2017,75000.00,
New England Grassroots Environment Fund,2017,60000.00,
New England Grassroots Environment Fund,2016,75000.00,
New England Grassroots Environment Fund,2016,60000.00,
New England Grassroots Environment Fund,2016,5492.00,
New England Grassroots Environment Fund,2015,45000.00,
Preservation Society of Newport County,2017,5000.00,
Orange County Community Foundation,2017,20000.00,
Orange County Community Foundation,2016,55000.00,
Nature Conservation Council of NSW Environment Gift Fund,2019,5230.00,
Nature Conservation Council of NSW Environment Gift Fund,2019,5230.00,
Nature Conservation Council of NSW Environment Gift Fund,2018,5504.00,
Nature Conservation Council of NSW Environment Gift Fund,2017,5805.00,
Nature Conservation Council of NSW Environment Gift Fund,2017,1935.00,
Orkiama Pastoralists Foundation,2018,10000.00,
Carbon Cycle Institute,2016,2500.00,
Carbon Cycle Institute,2015,30000.00,
GGEM Farming,2020,24938.00,
"Association to Contribute to Improve the Governance of Land, Water and Natural Resources",2015,174825.00,
Kawerak,2018,1236198.00,
ACCESS College Foundation,2019,10000.00,
Virginia Zoological Society,2019,17286.00,
Wetlands Watch,2020,40000.00,
Special Olympics Illinois,2018,2000.00,
Mount Washington Observatory,2015,57800.00,
Global Warming Policy Foundation (American Friends of),2020,50000.00,
Grassroots Global Justice Alliance,2020,200000.00,
Grassroots Global Justice Alliance,2020,150000.00,
Grassroots Global Justice Alliance,2020,100000.00,
Grassroots Global Justice Alliance,2020,25000.00,
Grassroots Global Justice Alliance,2019,100000.00,
Grassroots Global Justice Alliance,2018,200000.00,
Learning for a Sustainable Future,2016,10000.00,
Orion Society,2018,15000.00,
People's Institute,2017,5000.00,
"Northfield, City of",2020,50000.00,
Norwegian-American Historical Association,2016,5250.00,
Saint Olaf College,2017,250000.00,
Saint Olaf College,2016,16038.00,
South Shore Young Men‚'s Christian Association,2018,30000.00,
South Shore Young Men‚'s Christian Association,2017,35489.00,
Vermont Center for Ecostudies,2017,5000.00,
Vermont Center for Ecostudies,2016,5000.00,
University of Notre Dame,2016,798845.00,
Climate Defense Project,2016,40000.00,
Sustainable North Bay,2017,2500.00,
Women‚'s Initiative of Vojvodina,2017,2855.00,
Civil Society Forum Tonga,2016,5000.00,
District and Town Officers Association,2018,5000.00,
Tonga National Youth Congress,2017,4478.00,
Sustainable Markets Foundation Yay Halfon,2018,36000.00,
Frivilligforeningen V√¶restedet Perronen ‚Äì foreningen for socialt udsatte,2018,47771.00,
GCC Midwest,2016,5000.00,
350 Bay Area,2019,15000.00,
Acta Non Verba Youth Urban Farm Project,2018,500.00,
Advocacy Fund,2017,120000.00,
Advocacy Fund,2017,49500.00,
Alliance for Education,2017,50000.00,
Alliance for Education,2017,10000.00,
Alliance for Education,2017,7500.00,
Alliance for Education,2017,3000.00,
Alliance for Education,2017,3000.00,
Alliance for Education,2017,1800.00,
Alliance for Education,2016,120000.00,
Alliance for Education,2016,35000.00,
Alliance for Education,2016,5000.00,
Amazon Watch,2020,1500.00,
Amazon Watch,2019,150000.00,
Amazon Watch,2019,30000.00,
Amazon Watch,2016,60000.00,
Art Works for Change,2015,50000.00,
As You Sow,2020,60000.00,
As You Sow,2018,200000.00,
As You Sow,2018,175000.00,
As You Sow,2018,75000.00,
As You Sow,2018,75000.00,
As You Sow,2017,50000.00,
As You Sow,2017,25000.00,
As You Sow,2017,20000.00,
As You Sow,2016,125000.00,
As You Sow,2016,70000.00,
As You Sow,2016,60000.00,
As You Sow,2016,60000.00,
As You Sow,2016,50000.00,
As You Sow,2015,175000.00,
As You Sow,2015,100000.00,
As You Sow,2015,100000.00,
As You Sow,2015,67000.00,
As You Sow,2015,65000.00,
Asian Pacific Environmental Network,2020,200000.00,
Asian Pacific Environmental Network,2020,100000.00,
Asian Pacific Environmental Network,2020,100000.00,
Asian Pacific Environmental Network,2019,322000.00,
Asian Pacific Environmental Network,2018,137500.00,
Asian Pacific Environmental Network,2018,35000.00,
Asian Pacific Environmental Network,2017,300000.00,
Asian Pacific Environmental Network,2017,80250.00,
Asian Pacific Environmental Network,2017,35000.00,
Asian Pacific Environmental Network,2016,300000.00,
Asian Pacific Environmental Network,2016,75000.00,
Asian Pacific Environmental Network,2016,50000.00,
Asian Pacific Environmental Network,2016,35000.00,
Asian Pacific Environmental Network,2015,660000.00,
Asian Pacific Environmental Network,2015,260000.00,
Asian Pacific Environmental Network,2015,50000.00,
Asian Pacific Environmental Network Action,2016,10000.00,
Bay Area Black United Fund,2017,15000.00,
Bay Area Legal Aid,2019,60000.00,
Bay Area Legal Aid,2018,60000.00,
Bay Area Legal Aid,2017,47950.00,
Baykeeper,2020,50000.00,
Behavioral Ideas Lab,2020,1500000.00,
Behavioral Ideas Lab,2018,475000.00,
Berkeley Lab Foundation,2020,250000.00,
Berkeley Lab Foundation,2019,1500000.00,
Berkeley Lab Foundation,2019,286610.00,
Berkeley Lab Foundation,2018,500000.00,
Berkeley Lab Foundation,2017,1000000.00,
Berkeley Lab Foundation,2017,500000.00,
BLACK ORGANIZING PROJECT INC,2019,62500.00,
BLACK ORGANIZING PROJECT INC,2019,10000.00,
BLACK ORGANIZING PROJECT INC,2018,150000.00,
BLACK ORGANIZING PROJECT INC,2018,60000.00,
BLACK ORGANIZING PROJECT INC,2017,87500.00,
BLACK ORGANIZING PROJECT INC,2015,200000.00,
Breakthrough Institute,2019,500000.00,
Breakthrough Institute,2017,250000.00,
Breakthrough Institute,2017,200000.00,
Ca State Coastal Conservancy,2019,1000000.00,
Ca State Coastal Conservancy,2019,1000000.00,
California League Of Conservation,2015,400000.00,
California School-Based Health Alliance,2019,185000.00,
California School-Based Health Alliance,2018,185000.00,
California School-Based Health Alliance,2017,185000.00,
California Wildlife Foundation,2020,17367.00,
Californians for Justice Education Fund,2018,3200000.00,
Californians for Justice Education Fund,2018,400000.00,
Californians for Justice Education Fund,2017,145000.00,
Californians for Justice Education Fund,2017,25000.00,
Californians for Justice Education Fund,2016,290000.00,
Carroll Ministries International,2020,9500.00,
Catholic Charities of the East Bay,2019,145000.00,
Catholic Charities of the East Bay,2018,145000.00,
Catholic Charities of the East Bay,2017,165000.00,
Catholic Charities of the East Bay,2016,330000.00,
CEL EDUCATION FUND,2016,10000.00,
Center for Story-Based Strategy,2020,150000.00,
Center for Story-Based Strategy,2020,25000.00,
Center for Story-Based Strategy,2019,25000.00,
CENTER ON RACE POVERTY AND ENVIRONMENT,2020,200000.00,
CENTER ON RACE POVERTY AND ENVIRONMENT,2020,100000.00,
CENTER ON RACE POVERTY AND ENVIRONMENT,2020,100000.00,
Children Now,2019,715000.00,
Children Now,2018,715000.00,
Children Now,2015,400000.00,
CLIMA Fund,2020,100000.00,
CLIMA Fund,2019,200000.00,
CLIMA Fund,2018,75000.00,
CLIMA Fund,2017,75000.00,
Climate Justice Alliance,2020,250000.00,
Climate Justice Alliance,2020,200000.00,
Climate Justice Alliance,2020,150000.00,
Climate Justice Alliance,2020,35000.00,
Climate Justice Alliance,2019,300000.00,
Climate Justice Alliance,2019,35000.00,
Climate Justice Alliance,2019,30000.00,
Climate Justice Alliance,2019,10000.00,
Climate Justice Alliance,2018,300000.00,
Climate Justice Alliance,2018,100000.00,
Climate Justice Alliance,2018,60000.00,
Climate Justice Alliance,2017,300000.00,
Climate Justice Alliance,2017,50000.00,
Climate Justice Alliance,2017,30000.00,
Climate Justice Alliance,2017,25000.00,
Climate Justice Alliance,2017,25000.00,
Climate Justice Alliance,2017,2500.00,
Climate Justice Alliance,2017,500.00,
Climate Justice Alliance,2016,210000.00,
Climate Justice Alliance,2016,50000.00,
Climate Justice Alliance,2015,60000.00,
Climate Justice Alliance,2015,50000.00,
Climate Justice Alliance,2015,50000.00,
Climate Justice Alliance,2015,40000.00,
Climate Parents,2017,40000.00,
Climate Parents,2016,50000.00,
Community Initiatives,2019,300000.00,
Community Initiatives,2018,1437000.00,
Community Initiatives,2015,25000.00,
"Confluence Philanthropy, Inc.",2019,235000.00,
"Confluence Philanthropy, Inc.",2018,25000.00,
"Confluence Philanthropy, Inc.",2018,20000.00,
"Confluence Philanthropy, Inc.",2018,3000.00,
"Confluence Philanthropy, Inc.",2016,30000.00,
"Confluence Philanthropy, Inc.",2016,15000.00,
Cradle to Cradle Products Innovation Institute,2016,400000.00,
CultureStrike,2018,250000.00,
CultureStrike,2018,100000.00,
CultureStrike,2017,225000.00,
CultureStrike,2016,900000.00,
CultureStrike,2016,150000.00,
CultureStrike,2016,105863.00,
CultureStrike,2016,15000.00,
Dream Corps,2020,250000.00,
Dream Corps,2019,6000.00,
Dream Corps,2017,250000.00,
Dream Corps,2016,300000.00,
Dream Corps,2015,300000.00,
EARTH HOUSE,2017,25000.00,
EARTH HOUSE,2016,25000.00,
Ecoviva Ner,2019,33333.00,
Ecoviva Ner,2018,33333.00,
Ecoviva Ner,2017,33334.00,
EdSource Inc.,2019,175000.00,
EdSource Inc.,2018,175000.00,
EdSource Inc.,2017,175000.00,
Envision Education Inc,2019,8350.00,
Equal Justice Society,2018,100007.00,
Equal Justice Society,2017,100007.00,
"Falrfcank, Maslin, Maullin, Metz & Associates, Inc.",2015,48500.00,
Food First - Institute for Food and Development Policy Inc.,2018,30000.00,
Food Shift,2017,2000.00,
Gamechanger Labs,2020,150000.00,
Gamechanger Labs,2018,100000.00,
Gamechanger Labs,2018,40000.00,
Gamechanger Labs,2016,40000.00,
Gamechanger Labs,2016,25000.00,
Gender & Sexualities Alliance,2017,15000.00,
Gender & Sexualities Alliance,2017,15000.00,
Genders and Sexualities Alliance Network,2019,450249.00,
Genders and Sexualities Alliance Network,2018,400206.00,
Genders and Sexualities Alliance Network,2018,20000.00,
Genders and Sexualities Alliance Network,2017,1450000.00,
Genders and Sexualities Alliance Network,2016,550000.00,
generative somatics,2018,600000.00,
Global Footprint Network Inc,2018,5000.00,
Green Technology Leadership Group,2016,150000.00,
Green Technology Leadership Group,2015,50000.00,
GREENLINING INSTITUTE,2020,25000.00,
GREENLINING INSTITUTE,2019,250000.00,
GREENLINING INSTITUTE,2019,100000.00,
GREENLINING INSTITUTE,2018,275000.00,
GREENLINING INSTITUTE,2018,200000.00,
GREENLINING INSTITUTE,2018,180000.00,
GREENLINING INSTITUTE,2017,275000.00,
GREENLINING INSTITUTE,2017,250000.00,
GREENLINING INSTITUTE,2017,250000.00,
GREENLINING INSTITUTE,2016,200000.00,
GRID Alternatives,2018,150000.00,
GRID Alternatives,2017,1000.00,
Human Impact Partners,2017,25000.00,
Human Impact Partners,2017,25000.00,
Institute for Public Accuracy,2018,5000.00,
International Media Project,2016,25000.00,
International Rivers,2019,15000.00,
Kaiser Foundation Research Institute,2016,556085.00,
Leadership Learning Community,2016,90176.00,
League of Conservation Voter,2018,10000.00,
League of Conservation Voter,2017,10000.00,
Movement Strategy Center,2020,1000000.00,
Movement Strategy Center,2020,125000.00,
Movement Strategy Center,2020,100000.00,
Movement Strategy Center,2020,20000.00,
Movement Strategy Center,2019,150000.00,
Movement Strategy Center,2019,90000.00,
Movement Strategy Center,2019,20000.00,
Movement Strategy Center,2019,15000.00,
Movement Strategy Center,2018,1200000.00,
Movement Strategy Center,2018,750000.00,
Movement Strategy Center,2018,500000.00,
Movement Strategy Center,2018,300000.00,
Movement Strategy Center,2018,200000.00,
Movement Strategy Center,2018,150000.00,
Movement Strategy Center,2018,100000.00,
Movement Strategy Center,2018,100000.00,
Movement Strategy Center,2018,35000.00,
Movement Strategy Center,2017,600000.00,
Movement Strategy Center,2017,500000.00,
Movement Strategy Center,2017,260000.00,
Movement Strategy Center,2017,250000.00,
Movement Strategy Center,2017,50000.00,
Movement Strategy Center,2017,35000.00,
Movement Strategy Center,2017,10000.00,
Movement Strategy Center,2016,250000.00,
Movement Strategy Center,2016,125000.00,
Movement Strategy Center,2016,100000.00,
Movement Strategy Center,2016,50000.00,
Movement Strategy Center,2016,35000.00,
Movement Strategy Center,2015,250000.00,
Movement Strategy Center,2015,100000.00,
Movement Strategy Center,2015,75000.00,
Multiplier,2020,500000.00,
Multiplier,2020,250000.00,
Multiplier,2020,200000.00,
Multiplier,2019,250000.00,
Multiplier,2019,35000.00,
Multiplier,2018,200000.00,
Multiplier,2018,35000.00,
Multiplier,2017,200000.00,
National Center for Science Education,2018,25000.00,
National Center for Science Education Inc,2020,10000.00,
National Center for Science Education Inc,2018,50000.00,
National Center for Science Education Inc,2017,48500.00,
National Center for Science Education Inc,2016,25000.00,
New Energy Nexus (formerly CalCEF),2020,25000.00,
New Energy Nexus (formerly CalCEF),2020,25000.00,
New Energy Nexus (formerly CalCEF),2019,25000.00,
Oakland Kids First,2019,75000.00,
Oakland Kids First,2019,75000.00,
Oakland Kids First,2019,50000.00,
Oakland Kids First,2018,180000.00,
Oakland Kids First,2018,25000.00,
Oakland Kids First,2018,25000.00,
Oakland Kids First,2017,105000.00,
Oakland Kids First,2016,75000.00,
Partnership for Children and Youth,2018,150000.00,
Partnership for Children and Youth,2017,150000.00,
Partnership for Children and Youth,2017,133000.00,
Partnership for Working Families,2018,75000.00,
Partnership for Working Families,2018,10000.00,
Partnership for Working Families,2017,135000.00,
Partnership for Working Families,2017,50000.00,
Perennial Farming Initiative,2018,10000.00,
Pivot Learning,2019,90500.00,
PolicyLink,2018,250000.00,
PolicyLink,2017,250000.00,
Public Health Institute,2019,25000.00,
Public Health Institute,2019,10000.00,
Public Health Institute,2019,2500.00,
Public Health Institute,2018,25000.00,
Public Health Institute,2016,713728.00,
Regeneration Project,2020,1000000.00,
Regeneration Project,2020,22500.00,
Rising Sun Center for Opportunity,2020,10000.00,
Rising Sun Center for Opportunity,2020,8000.00,
